version,checksum
0.1.2,3745f052bba002c540a9817dff6305bf0b69d75d
0.1.1,5f307c2907c946157f31d4e4dba0edb7f9f308a8
0.1.0,49d51f59ecb09f5fa23026b7ea1cd1dfb7ca5f0e
